depolarizing_noise,attack_intensity,qber,entropy,key_rate,channel_loss,ai_attack_likelihood,lagrangian_base,var_k_raw,neg_slope_raw,var_k_norm,neg_slope_norm,curvature_norm,precritical_gate,critical_instability_potential,lagrangian_predictive
0.114,0.05,0.07854800000000002,0.3970421997304544,0.2059156005390912,0.5085561497326203,0.17343971924029727,0.2428528095544392,0.0011489369021545058,4.031022354270697,0.40781755914024415,0.6047751609373513,0.021624250408609286,1.0,0.33498081918459544,0.5778336287390347
0.12,0.05,0.08192,0.40890855981495633,0.18218288037008734,0.5294117647058824,0.17970478943022297,0.25748997015994946,0.0011066187649444684,3.9554533615006475,0.392659234683131,0.5934375285087043,0.017761525337712195,1.0,0.32434275336056323,0.5818327235205127
0.126,0.05,0.08529200000000002,0.4205567514551954,0.15888649708960922,0.5502673796791443,0.18596985962014867,0.2719635044322626,0.001066615741964481,3.8827305467463495,0.37833018237663757,0.5825269087870717,0.01420778272351825,1.0,0.3142775278297038,0.5862410322619664
0.132,0.05,0.08866400000000002,0.4319946318400879,0.1360107363198242,0.5711229946524065,0.19223492981007434,0.2862793052630658,0.0010287254152459306,3.8126267949641695,0.3647578962588644,0.5720092276530383,0.010927651556562645,1.0,0.3047318577647953,0.591011163027861
0.138,0.05,0.092036,0.44322945456994733,0.11354109086010533,0.5919786096256685,0.1985,0.3004428128525942,0.000992769903901879,3.7449409099531397,0.35187865953184544,0.5618542995967937,0.00789097016519668,1.0,0.2956593057977823,0.5961021186503765
0.14400000000000002,0.05,0.09540800000000003,0.45426793600300175,0.0914641279939965,0.6128342245989306,0.20476507018992574,0.3144590644695188,0.0009585921203329282,3.6794938110181348,0.3396362035373443,0.5520352571026814,0.005071860552704337,1.0,0.28701917864522714,0.601478243114746
0.15,0.05,0.09878,0.4651163122109805,0.06976737557803903,0.6336898395721925,0.21103014037985135,0.3283327371676367,0.0009260527079310715,3.616125402659593,0.32798061084471136,0.5425280810080665,0.002447993490972882,1.0,0.2787756348435554,0.607108372011192
0.156,0.05,0.10215200000000002,0.47578038814868007,0.048439223702639866,0.6545454545454545,0.21729521056977708,0.3420681846630452,0.0008950275174089377,3.55469197923319,0.31686741127394424,0.5333112111238614,0.0,1.0,0.27089695728303886,0.6129651419460841
0.162,0.05,0.10552400000000002,0.4862655803240886,0.02746883935182276,0.6754010695187166,0.22356028075970275,0.3556694693367355,0.0006725375476987425,3.4950640584695147,0.2371716738982345,0.5243652211970117,0.4019195932453403,1.0,0.4412794488461557,0.7969489181828913
0.168,0.05,0.108896,0.49657695400866175,0.006846091982676494,0.6962566844919786,0.2298253509496284,0.3691403901422991,0.000355622893700746,3.4371245615243744,0.12365308666287962,0.5156725458630477,1.0,1.0,0.6979803440909221,1.0671207342332212
0.17400000000000002,0.05,0.11226800000000003,0.5067192558339442,0.0,0.7171122994652408,0.23609042113955414,0.37979680471981714,0.0001267568706621661,1.1410153304460813,0.041673451850290574,0.17118677830487022,0.7716996600543465,0.0,0.0,0.37979680471981714
0.18,0.05,0.11564,0.5166969424680604,0.0,0.7379679144385026,0.24235549132947976,0.3890263855838916,1.0415327874503861e-05,0.0,0.0,0.0,0.348420787457787,0.0,0.0,0.3890263855838916
0.0,0.1,0.01816,0.1309809491569893,0.7380381016860214,0.1122994652406417,0.08874071015689514,-0.057119217544905926,0.0009402989224946791,0.0,0.35975719225896186,0.0,0.13035856329769205,0.0,0.0,-0.057119217544905926
0.006,0.1,0.021568,0.15015615140048505,0.6996876971990299,0.13315508021390374,0.09507266721717589,-0.03698370360256151,0.0016952031194764452,6.391734081165242,0.6485825943025373,1.0,0.1927003284375051,0.0,0.0,-0.03698370360256151
